Label_Emosi,Teks_Komentar
Disgust,unforgiven
Anger,nh sia bet nyirik viking hah nh sia bet nyirik viking
Disgust,moal dihmpura
Sadness,urang nges nyeri hati
Neutral,"kan karna emosi,, tak mungkin ruginya banyak,, dahlah sayangi ibumu,, salah kita belajar lagi k mata pelajaran, sayangi ibumu,, saya jak dah bers"
Disgust,nnaonan ceng atuh nyiar²
Disgust,sya org Banten asli Sunda gk terima dunia akhirat
Disgust,tetap prosesss
Disgust,moal dihampuraken.
Disgust,"pnyesalan di blkng.klo di depan pndaftaran.minta ma,af ok.tpi hukum tetap lnjut"
Neutral,orang Sunda ❤❤❤ Banyuwangi hadir 🙏🙏🙏🙏🙏
Disgust,tetep d proses ayo proses
Disgust,tidak ada alasan apapun hukum tetap berjalan...Abi orang Sunda euyy
Disgust,udah gini baru bilang keluarga hahaha
Neutral,🙂
Disgust,kamu bukan saudara saya 😂
Anger,tay luuu🥹🥹🥹
Anger,te logis anj moal aya kata hampura
Disgust,te mungkin maneh te sadar
Anger,awal Ahir papanggih jeng aing
Disgust,GK ada kata maaf proses hukum harus berlanjut...
Disgust,proses hukum harus berlanjut agar tidak ada kejadian seperti ini lagi. kalo hal gini di normalkan maka akan ada suku suku lain yang di jelekan
Disgust,"harus diproses secara hukum,, kalau cuma minta maaf, semua orang juga bisa ,,"
Disgust,Minta maaf na langsung atuh di harepeun kabeh orang Sunda kan ngomong na ge dengan sadar dan tanpa ada paksaan.. jadi ngomong minta maaf na ulah di imah kudu di harepeun kabeh orang Sunda…
Disgust,"ningali klarifikasi kie, anger teu merean hate oge,. kdu d tewak hukum d tegakeun.. meh ay efek jera🤔"
Disgust,aku orang. sunda. orang. tasik. asli.
Disgust,tangkap
Neutral,el klarifikasi
Neutral,maaf aing lain sodara sia
Disgust,moal di hampura
Disgust,#TOLAKKLARIFIKASI
Disgust,"lhooo kan.
muncul jg"
Disgust,"hukum sudah berjalan sell sudah tunggu 6 thn,, org Sunda semua gak terima,,, woy"
Disgust,omongan orang kepepet. Tidak ada celah buat memaafkanmu.
Neutral,tidak sesuai dengan nama
Neutral,❤
Anger,aing gk trima kng 😠
Disgust,Gak ada kata maaf enak aja mintak maaf
Disgust,tetap proses secara hukum. ga cukup klasifikasi dan minta maaf
Disgust,tiada maap bagi mu.....
Disgust,jangan mau dimaafin dikasih efek jera
Sadness,semoga amal ibadah Resmob di terima di sisi Allah SWT dan di tenangkan di alam kuburnya
Anger,podaran nu kitu mah
